date,sw_large,sw_middle,sw_small,Z_sx
57,2200.22,2884.76,3297.08,-1.262024776
58,2133.81,2690.63,3071.98,-1.177008426
59,2169.38,2795.73,3193.64,-0.741564063
60,1981.01,2426.4,2733.79,-0.934332322
61,1995.56,2268.45,2482,-1.253489487
62,2110.05,2454.66,2727.64,-0.851017864
63,2138,2561.08,2874.97,-0.583695028
64,2126.19,2493.36,2818.14,-0.723163351
65,2175.45,2557.43,2869.32,-0.588841355
66,2093.83,2478.82,2772.3,-0.639902237
67,2001.65,2337.31,2604.78,-0.910614412
68,1921.88,2269.94,2558.7,-0.98680834
69,1867.85,2221.32,2538.47,-0.942762012
70,1908.99,2228.24,2526.64,-1.066518084
71,1848.58,2086.65,2378.26,-1.258340161
72,1959.33,2102.13,2359.04,-0.797347812
73,2178.53,2360.08,2640.98,-0.289442378
74,2265.88,2479.96,2751.49,-0.303420794
75,2164.4,2447.4,2748.17,-0.553433688
76,2082.58,2374.75,2669.77,-0.805253516
77,2148.91,2542.01,2869.89,-0.499074816
78,1979.17,2428.04,2760.16,-0.413602664
79,1866.07,2389.01,2692.62,-0.672644383
80,1921.07,2540.25,2882.62,-0.260299601
81,2023.06,2653.61,3023.92,-0.258290713
82,2015.58,2721.5,3127.7,-0.571269085
83,1981.66,2601,3032.25,-0.327912932
84,1971.92,2640.32,3083.12,-0.365832311
85,1855.37,2595.95,3054.41,-0.643715827
86,1863.05,2778.97,3342.43,-0.457911212
87,1777.91,2649.29,3274.62,-0.446805031
88,1824.08,2616.9,3224.84,-0.759631448
89,1781.13,2515.51,3102.23,-0.854759612
90,1786.16,2548.25,3172.97,-0.631530864
91,1819.42,2651.46,3356.34,-0.251125455
92,1931.32,2854.13,3622.03,-0.126953651
93,1972.82,3050.72,3939.38,0.122783753
94,1980.99,3154.23,4137.73,0.471759534
95,2097.63,3239.83,4220.93,0.823318673
96,2661.17,3573.41,4380.89,1.334029972
97,2936.68,3704.11,4415.28,1.213852567
98,2834.02,3826.99,4659.29,0.643740388
99,3059.44,4426.44,5462.56,1.542130191
100,3680.65,5274.82,6610.35,2.900374351
101,3901.79,5921.9,7742.08,3.571303151
102,4008.87,6727.86,9112.4,4.133773459
103,3277.73,4955.41,6445.13,3.916914471
104,2989.33,4865.31,6416.07,3.072465591
105,2650.17,3986.76,5199.45,1.747640928
106,2814.87,4444.73,5930.49,1.46492135
107,2996.74,4801.37,6559.2,2.413017178
108,2994.57,4800.55,6693.68,2.143679197
109,2567.88,3831.28,5362.87,1.096433697
110,2413.99,3657.74,5079.34,0.641998724
111,2522.72,3683.35,5100.96,1.093069577
112,2586.24,3885.21,5454.55,1.118788884
113,2497.18,3653.87,5160.84,0.765167895
114,2523.96,3735.49,5392.3,1.04530814
115,2611.32,3956.46,5674.94,0.845460137
116,2641.43,3969.22,5584.89,0.634527987
117,2625.73,3946.3,5577.08,0.31954782
118,2657.12,4004.68,5683.12,0.15017184
119,2743.62,4064.82,5747.59,0.582649712
120,2726.87,3926.34,5490.79,0.580372297
121,2713.37,3810.31,5286.66,-0.024498374
