date,sw_large,sw_middle,sw_small,Z_sx
2013-12,1971.92,2640.32,3083.12,-0.365832311
2014-01,1855.37,2595.95,3054.41,-0.643715827
2014-02,1863.05,2778.97,3342.43,-0.457911212
2014-03,1777.91,2649.29,3274.62,-0.446805031
2014-04,1824.08,2616.9,3224.84,-0.759631448
2014-05,1781.13,2515.51,3102.23,-0.854759612
2014-06,1786.16,2548.25,3172.97,-0.631530864
2014-07,1819.42,2651.46,3356.34,-0.251125455
2014-08,1931.32,2854.13,3622.03,-0.126953651
2014-09,1972.82,3050.72,3939.38,0.122783753
2014-10,1980.99,3154.23,4137.73,0.471759534
2014-11,2097.63,3239.83,4220.93,0.823318673
2014-12,2661.17,3573.41,4380.89,1.334029972
2015-01,2936.68,3704.11,4415.28,1.213852567
2015-02,2834.02,3826.99,4659.29,0.643740388
2015-03,3059.44,4426.44,5462.56,1.542130191
2015-04,3680.65,5274.82,6610.35,2.900374351
2015-05,3901.79,5921.9,7742.08,3.571303151
2015-06,4008.87,6727.86,9112.4,4.133773459
2015-07,3277.73,4955.41,6445.13,3.916914471
2015-08,2989.33,4865.31,6416.07,3.072465591
2015-09,2650.17,3986.76,5199.45,1.747640928
2015-10,2814.87,4444.73,5930.49,1.46492135
2015-11,2996.74,4801.37,6559.2,2.413017178
2015-12,2994.57,4800.55,6693.68,2.143679197
2016-01,2567.88,3831.28,5362.87,1.096433697
2016-02,2413.99,3657.74,5079.34,0.641998724
2016-03,2522.72,3683.35,5100.96,1.093069577
2016-04,2586.24,3885.21,5454.55,1.118788884
2016-05,2497.18,3653.87,5160.84,0.765167895
2016-06,2523.96,3735.49,5392.3,1.04530814
2016-07,2611.32,3956.46,5674.94,0.845460137
2016-08,2641.43,3969.22,5584.89,0.634527987
2016-09,2625.73,3946.3,5577.08,0.31954782
2016-10,2657.12,4004.68,5683.12,0.15017184
2016-11,2743.62,4064.82,5747.59,0.582649712
2016-12,2726.87,3926.34,5490.79,0.580372297
2017-01,2713.37,3810.31,5286.66,-0.024498374
